Ancien/Nouveau;[0-400];[400-600];[600-800];[800-1000];[1000-1200];[>1200]
[0-400];0.631;0.028;0.0;0.0;0.001;0.0
[400-600];0.029;0.193;0.005;0.0;0.0;0.0
[600-800];0.0;0.006;0.052;0.001;0.0;0.0
[800-1000];0.0;0.0;0.002;0.019;0.001;0.0
[1000-1200];0.0;0.0;0.0;0.002;0.013;0.0
[>1200];0.0;0.0;0.0;0.0;0.001;0.017
