Ancien/Nouveau;[<16];[16-17];[17-18];[18-19.5];[19.5-20.8];[20.8-23.2];[23.2-24.5];[24.5-26];[26-27];[27-28] ;[>28]
[26-27] / [>1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[27-28]  / [<200];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000285;0.003561;0.00057
[27-28]  / [200-400];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001282;0.000427;0.0
[27-28]  / [400-500];0.0;0.0;0.0;0.0;0.0;0.0;0.000142;0.0;0.000142;0.000427;0.0
[27-28]  / [500-550];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000142;0.000997;0.0
[27-28]  / [550-600];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000285;0.002279;0.0
[27-28]  / [600-900];0.0;0.0;0.0;0.0;0.0;0.000142;0.0;0.0;0.000712;0.005983;0.000712
[27-28]  / [900-950];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000285;0.000712;0.0
[27-28]  / [950-1000];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004558;0.043875;0.004558
[27-28]  / [1000-1100];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[27-28]  / [1100-1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[27-28]  / [>1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>28] / [<200];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00057;0.000285
[>28] / [200-400];0.0;0.0;0.0;0.0;0.0;0.0;0.000142;0.0;0.0;0.0;0.002991
[>28] / [400-500];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001994
[>28] / [500-550];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000142;0.0;0.000285;0.001425
[>28] / [550-600];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001709
[>28] / [600-900];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000427;0.030199
[>28] / [900-950];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000142;0.003989
[>28] / [950-1000];0.0;0.0;0.0;0.0;0.0;0.0;0.000142;0.000285;0.000427;0.003134;0.226353
[>28] / [1000-1100];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>28] / [1100-1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>28] / [>1300];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
