Ancien/Nouveau;[<16];[16-17];[17-18];[18-19.5];[19.5-20.8];[20.8-23.2];[23.2-24.5];[24.5-26];[26-27];[27-28] ;[>28]
[26-27] / [>1200];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[27-28]  / [0-400];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[27-28]  / [400-600];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[27-28]  / [600-800];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[27-28]  / [800-1000];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[27-28]  / [1000-1200];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[27-28]  / [>1200];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>28] / [0-400];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>28] / [400-600];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>28] / [600-800];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>28] / [800-1000];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>28] / [1000-1200];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>28] / [>1200];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
