date;temperature;luminosity;co2;humidity
2018-01-29T11:46:39.104317;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T11:48:39.194173;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T11:50:39.277469;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T11:52:39.365735;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T11:54:39.456977;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T11:56:39.549276;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T11:58:39.632333;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T12:00:39.724172;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T12:02:39.812871;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T12:04:39.904487;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T12:06:39.997519;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T12:08:40.103185;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T12:10:40.182337;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T12:12:40.277628;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T12:14:40.366868;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T12:16:40.476405;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T12:18:40.515885;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T12:20:40.638940;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T12:22:40.698400;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T12:24:40.786387;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T12:26:40.876339;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T12:28:40.965098;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T12:30:41.062500;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T12:32:41.150760;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T12:34:41.241043;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T12:36:41.329246;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T12:38:41.425733;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T12:40:41.515402;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T12:42:41.607257;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T12:44:41.693858;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T12:46:41.782279;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T12:48:41.869750;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T12:50:41.959282;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T12:52:42.044978;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T12:54:42.133046;[19.5-20.8];[<200];[0-400];[30-37]
2018-01-29T12:56:42.219705;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T12:58:42.313328;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T13:00:42.409284;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T13:02:42.503573;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T13:04:42.595223;[18-19.5];[<200];[0-400];[30-37]
2018-01-29T13:06:42.679057;[19.5-20.8];[<200];[0-400];[30-37]
