date;temperature;luminosity;co2;humidity
2017-09-16T09:19:45.628058;[18-19.5];[<200];[0-400];[45-55]
2017-09-16T09:21:45.755277;[18-19.5];[<200];[0-400];[45-55]
2017-09-16T09:23:45.857037;[18-19.5];[<200];[0-400];[45-55]
2017-09-16T09:25:45.998983;[18-19.5];[<200];[0-400];[45-55]
2017-09-16T09:27:46.131820;[18-19.5];[<200];[0-400];[45-55]
2017-09-16T09:29:46.239735;[18-19.5];[<200];[0-400];[45-55]
2017-09-16T09:31:46.366372;[18-19.5];[<200];[0-400];[45-55]
2017-09-16T09:33:46.521695;[19.5-20.8];[200-400];[0-400];[45-55]
2017-09-16T09:35:46.659848;[19.5-20.8];[200-400];[0-400];[45-55]
2017-09-16T09:37:46.788477;[18-19.5];[<200];[0-400];[45-55]
2017-09-16T09:39:46.915761;[19.5-20.8];[<200];[0-400];[45-55]
2017-09-16T09:41:47.056785;[19.5-20.8];[<200];[0-400];[45-55]
2017-09-16T09:43:47.175941;[19.5-20.8];[<200];[0-400];[45-55]
2017-09-16T09:45:47.312613;[19.5-20.8];[<200];[0-400];[45-55]
2017-09-16T09:47:47.449324;[19.5-20.8];[<200];[0-400];[45-55]
2017-09-16T09:49:47.591289;[19.5-20.8];[<200];[0-400];[42-45]
2017-09-16T09:51:47.725359;[19.5-20.8];[<200];[0-400];[45-55]
2017-09-16T09:53:47.835053;[19.5-20.8];[<200];[0-400];[42-45]
2017-09-16T09:55:47.970490;[19.5-20.8];[<200];[0-400];[42-45]
2017-09-16T09:57:48.079866;[19.5-20.8];[<200];[0-400];[42-45]
2017-09-16T09:59:48.222539;[19.5-20.8];[<200];[0-400];[42-45]
2017-09-16T10:01:48.349919;[19.5-20.8];[<200];[0-400];[42-45]
2017-09-16T10:03:48.456969;[19.5-20.8];[<200];[0-400];[42-45]
2017-09-16T10:05:48.588260;[19.5-20.8];[<200];[0-400];[42-45]
2017-09-16T10:07:48.719892;[18-19.5];[<200];[0-400];[42-45]
2017-09-16T10:09:48.849771;[19.5-20.8];[<200];[0-400];[42-45]
2017-09-16T10:11:48.992463;[19.5-20.8];[<200];[0-400];[42-45]
2017-09-16T10:13:49.111556;[19.5-20.8];[<200];[0-400];[42-45]
2017-09-16T10:15:49.241874;[19.5-20.8];[<200];[0-400];[42-45]
2017-09-16T10:17:49.384195;[19.5-20.8];[<200];[0-400];[42-45]
2017-09-16T10:19:49.528760;[19.5-20.8];[<200];[0-400];[42-45]
2017-09-16T10:21:49.664907;[18-19.5];[<200];[0-400];[42-45]
2017-09-16T10:23:49.836306;[19.5-20.8];[<200];[0-400];[42-45]
2017-09-16T10:25:49.966711;[19.5-20.8];[<200];[0-400];[42-45]
2017-09-16T10:27:50.092862;[19.5-20.8];[<200];[0-400];[42-45]
2017-09-16T10:29:50.232443;[19.5-20.8];[<200];[0-400];[42-45]
2017-09-16T10:31:50.381955;[19.5-20.8];[<200];[0-400];[42-45]
2017-09-16T10:33:50.518895;[19.5-20.8];[<200];[0-400];[42-45]
2017-09-16T10:35:50.651455;[19.5-20.8];[<200];[0-400];[42-45]
2017-09-16T10:37:50.761905;[19.5-20.8];[<200];[0-400];[42-45]
2017-09-16T10:39:50.904414;[19.5-20.8];[200-400];[0-400];[42-45]
2017-09-16T10:41:51.015231;[19.5-20.8];[200-400];[0-400];[42-45]
2017-09-16T10:43:51.142337;[19.5-20.8];[<200];[0-400];[37-42]
2017-09-16T10:45:51.288539;[19.5-20.8];[<200];[0-400];[37-42]
2017-09-16T10:47:51.422750;[19.5-20.8];[<200];[0-400];[37-42]
2017-09-16T10:49:51.560465;[19.5-20.8];[<200];[0-400];[42-45]
2017-09-16T10:51:51.677418;[19.5-20.8];[<200];[0-400];[37-42]
2017-09-16T10:53:51.896870;[19.5-20.8];[<200];[0-400];[37-42]
2017-09-16T10:55:51.939254;[19.5-20.8];[<200];[0-400];[37-42]
2017-09-16T10:57:52.045038;[19.5-20.8];[<200];[0-400];[37-42]
2017-09-16T10:59:52.173192;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T11:01:52.327971;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T11:03:52.470066;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T11:05:52.604175;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T11:07:52.738938;[19.5-20.8];[<200];[0-400];[37-42]
2017-09-16T11:09:52.877430;[19.5-20.8];[<200];[0-400];[37-42]
2017-09-16T11:11:53.028982;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T11:13:53.165855;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T11:15:53.291122;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T11:17:53.419100;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T11:19:53.556085;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T11:21:53.675709;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T11:23:53.811020;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T11:25:53.358638;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T11:27:53.763249;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T11:29:54.142908;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T11:31:54.327506;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T11:33:54.469904;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T11:35:54.627846;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T11:37:54.750756;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T11:39:54.875005;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T11:41:54.987397;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T11:43:55.118993;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T11:45:55.257382;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T11:47:55.394554;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T11:49:55.519530;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T11:51:55.660551;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T11:53:55.792585;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T11:55:55.909439;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T11:57:56.044481;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T11:59:56.181223;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T12:01:56.312788;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T12:03:56.432869;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T12:05:56.544134;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T12:07:56.680844;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T12:09:56.807367;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T12:11:56.945153;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T12:13:57.074574;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T12:15:57.202553;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T12:17:57.333398;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T12:19:57.494173;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T12:21:57.638678;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T12:23:57.756460;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T12:25:57.892568;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T12:27:58.032822;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T12:29:58.166412;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T12:31:58.293322;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T12:33:58.423908;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T12:35:58.571631;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T12:37:58.701904;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T12:39:58.819811;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T12:41:58.954018;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T12:43:59.071132;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T12:45:59.204352;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T12:47:59.342705;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T12:49:59.493671;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T12:51:59.627834;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T12:53:59.759579;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T12:55:59.893150;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T12:58:00.017455;[19.5-20.8];[200-400];[0-400];[37-42]
2017-09-16T13:00:00.130471;[19.5-20.8];[200-400];[0-400];[37-42]
