date;temperature;luminosity;co2;humidity
2018-06-04T11:39:34.795670;[24.5-26];[500-550];[0-400];[45-55]
2018-06-04T11:41:34.825578;[24.5-26];[500-550];[0-400];[45-55]
2018-06-04T11:43:34.868784;[24.5-26];[550-600];[0-400];[45-55]
2018-06-04T11:45:34.884945;[24.5-26];[550-600];[0-400];[45-55]
2018-06-04T11:47:34.916238;[24.5-26];[600-900];[0-400];[45-55]
2018-06-04T11:49:34.950932;[24.5-26];[600-900];[0-400];[45-55]
2018-06-04T11:51:34.975727;[24.5-26];[600-900];[0-400];[45-55]
2018-06-04T11:53:34.998482;[23.2-24.5];[600-900];[0-400];[45-55]
2018-06-04T11:55:35.032341;[24.5-26];[550-600];[0-400];[45-55]
2018-06-04T11:57:35.062749;[24.5-26];[600-900];[0-400];[45-55]
2018-06-04T11:59:35.096024;[24.5-26];[600-900];[0-400];[45-55]
2018-06-04T12:01:35.124580;[24.5-26];[400-500];[0-400];[45-55]
2018-06-04T12:03:35.150576;[24.5-26];[200-400];[0-400];[45-55]
2018-06-04T12:05:35.181534;[24.5-26];[200-400];[0-400];[45-55]
2018-06-04T12:07:35.216270;[24.5-26];[200-400];[0-400];[45-55]
2018-06-04T12:09:35.245294;[24.5-26];[200-400];[0-400];[45-55]
2018-06-04T12:11:35.275169;[24.5-26];[200-400];[0-400];[45-55]
2018-06-04T12:13:35.303935;[24.5-26];[200-400];[0-400];[45-55]
2018-06-04T12:15:35.333281;[24.5-26];[200-400];[0-400];[45-55]
2018-06-04T12:17:35.360044;[24.5-26];[200-400];[0-400];[45-55]
2018-06-04T12:19:35.391368;[24.5-26];[200-400];[0-400];[45-55]
2018-06-04T12:21:35.417785;[24.5-26];[200-400];[0-400];[45-55]
2018-06-04T12:23:35.448967;[24.5-26];[200-400];[0-400];[45-55]
2018-06-04T12:25:35.479177;[24.5-26];[500-550];[0-400];[45-55]
2018-06-04T12:27:35.511119;[24.5-26];[500-550];[0-400];[45-55]
